ticker,caps_count,lower_count,caps_share,zipf,decided_by,classification
AFSC,0,0,,1.95,wordfreq,normal
AFSM,0,0,,0.0,wordfreq,normal
AFYA,1,0,1.0,0.0,wordfreq,normal
AGBK,0,0,,0.0,wordfreq,normal
AGCC,0,0,,1.07,wordfreq,normal
AGCO,7,0,1.0,1.7,wordfreq,normal
AGEM,0,0,,0.0,wordfreq,normal
AGEN,16,1,0.941,2.46,wordfreq,normal
AGGA,0,0,,1.2,wordfreq,normal
AGGH,0,0,,0.0,wordfreq,normal
AGGS,0,0,,1.15,wordfreq,normal
AGGY,0,0,,1.77,wordfreq,normal
AGIG,0,0,,0.0,wordfreq,normal
AGIO,11,2,0.846,1.33,wordfreq,normal
AGIQ,0,0,,0.0,wordfreq,normal
AGIX,5,6,0.455,0.0,wordfreq,normal
AGMB,0,0,,0.0,wordfreq,normal
AGMH,3,0,1.0,0.0,wordfreq,normal
AGMI,0,0,,0.0,wordfreq,normal
AGNC,32,1,0.97,0.0,case_ratio,normal
AGNCL,0,0,,0.0,wordfreq,normal
AGNCM,0,0,,0.0,wordfreq,normal
AGNCN,0,0,,0.0,wordfreq,normal
AGNCO,0,0,,0.0,wordfreq,normal
AGNCP,0,0,,0.0,wordfreq,normal
AGNCZ,0,0,,0.0,wordfreq,normal
AGNG,0,0,,0.0,wordfreq,normal
AGNT,0,0,,0.0,wordfreq,normal
AGOX,0,0,,0.0,wordfreq,normal
AGPU,0,0,,0.0,wordfreq,normal
AGQI,0,0,,0.0,wordfreq,normal
AGRH,0,0,,0.0,wordfreq,normal
AGRO,2,0,1.0,2.96,wordfreq,normal
AGRW,0,0,,0.0,wordfreq,normal
AGRZ,0,0,,0.0,wordfreq,normal
AGYS,2,0,1.0,0.0,wordfreq,normal
AGZD,0,0,,0.0,wordfreq,normal
AHCO,3,0,1.0,0.0,wordfreq,normal
AHLT,0,0,,0.0,wordfreq,normal
AHMA,0,0,,0.0,wordfreq,normal
AHRT,0,0,,0.0,wordfreq,normal
AHYB,0,0,,0.0,wordfreq,normal
AIAI,0,0,,1.38,wordfreq,normal
AIBD,0,0,,0.0,wordfreq,normal
AIBU,0,0,,1.05,wordfreq,normal
AIBZ,0,0,,0.0,wordfreq,normal
AIDX,0,0,,0.0,wordfreq,normal
AIEQ,0,0,,0.0,wordfreq,normal
AIFA,0,0,,1.18,wordfreq,normal
AIFC,1,0,1.0,0.0,wordfreq,normal
AIFD,0,0,,0.0,wordfreq,normal
AIFF,0,0,,2.0,wordfreq,normal
AIFU,0,0,,0.0,wordfreq,normal
AIHS,9,0,1.0,0.0,wordfreq,normal
AIIA,0,0,,1.01,wordfreq,normal
AIIO,0,0,,0.0,wordfreq,normal
AIIOW,0,0,,0.0,wordfreq,normal
AIIR,0,0,,0.0,wordfreq,normal
AIMD,0,0,,0.0,wordfreq,normal
AIMDW,0,0,,0.0,wordfreq,normal
AIMS,3,180,0.016,4.21,case_ratio,cashtag_only
AINP,0,0,,0.0,wordfreq,normal
AINT,9,52,0.148,3.34,case_ratio,cashtag_only
AIOO,0,0,,0.0,wordfreq,normal
AIOS,0,0,,1.2,wordfreq,normal
AIOT,0,0,,0.0,wordfreq,normal
AIPI,0,0,,0.0,wordfreq,normal
AIPO,0,0,,0.0,wordfreq,normal
AIQD,0,0,,0.0,wordfreq,normal
AIQU,0,0,,0.0,wordfreq,normal
AIRE,0,2,0.0,2.62,wordfreq,normal
AIRG,4,0,1.0,0.0,wordfreq,normal
AIRI,3,0,1.0,1.86,wordfreq,normal
AIRJ,0,0,,0.0,wordfreq,normal
AIRJW,0,0,,0.0,wordfreq,normal
AIRO,1,0,1.0,1.16,wordfreq,normal
AIRR,0,0,,0.0,wordfreq,normal
AIRS,0,1,0.0,3.51,wordfreq,cashtag_only
AIRT,0,0,,1.29,wordfreq,normal
AIRTP,0,0,,0.0,wordfreq,normal
AISP,0,0,,0.0,wordfreq,normal
AISPW,0,0,,0.0,wordfreq,normal
AIUP,0,0,,0.0,wordfreq,normal
AIVC,0,0,,0.0,wordfreq,normal
AIVI,0,0,,0.0,wordfreq,normal
AIVL,0,0,,0.0,wordfreq,normal
AIXC,0,0,,0.0,wordfreq,normal
AIXI,0,0,,0.0,wordfreq,normal
AIYY,0,0,,0.0,wordfreq,normal
AIZN,0,0,,0.0,wordfreq,normal
AJAN,0,0,,0.0,wordfreq,normal
AJUL,0,0,,0.0,wordfreq,normal
AKAF,0,0,,0.0,wordfreq,normal
AKAM,54,0,1.0,1.43,case_ratio,normal
AKAN,0,0,,2.45,wordfreq,normal
AKBA,22,0,1.0,0.0,wordfreq,normal
AKRE,0,3,0.0,1.1,wordfreq,normal
AKTS,4,0,1.0,0.0,wordfreq,normal
AKTX,11,1,0.917,0.0,wordfreq,normal
ALAB,1,0,1.0,1.6,wordfreq,normal
ALAI,0,0,,2.2,wordfreq,normal
ALAR,0,0,,1.95,wordfreq,normal
ALBG,0,0,,0.0,wordfreq,normal
ALBT,1,1,0.5,0.0,wordfreq,normal
ALCO,1,0,1.0,2.17,wordfreq,normal
ALDB,0,0,,0.0,wordfreq,normal
ALDF,0,0,,0.0,wordfreq,normal
ALDFU,0,0,,0.0,wordfreq,normal
ALDFW,0,0,,0.0,wordfreq,normal
ALDX,5,2,0.714,0.0,wordfreq,normal
ALEC,33,2,0.943,3.65,case_ratio,normal
